CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,LEPANTO,ES1799A,Background,Urban,Benzo(k)fluoranthene in PM10 (aerosol),SP_14021007_96_M,37.89261,-4.76234,119,Continuous data collection,2008-01-01T00:00:00Z,2008-12-31T00:00:00Z,SAM_14021007_96_M,SPP_14021007_96_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,VILLAHARTA,ES1971A,Industrial,Suburban,Ethyl benzene (air),SP_14068001_35_I,38.13793,-4.90397,571,Continuous data collection,2011-01-01T00:00:00Z,,SAM_14068001_35_I,SPP_14068001_35_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Galicia,SUBDIRECCION XERAL DE METEOROLOXIA E CAMBIO CLIMATICO (XUNTA DE GALICIA),UTC,CENTRO CIVICO,ES1907A,Industrial,Suburban,Particulate matter < 2.5 µm (aerosol),SP_15005012_9_47,43.3023,-8.506,100,Continuous data collection,2013-01-01T00:00:00Z,,SAM_15005012_9_47,SPP_15005012_9_47.1,TEOM 1405D,Tapered Element Oscillating Microbalance (TEOM),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Galicia,SUBDIRECCION XERAL DE METEOROLOXIA E CAMBIO CLIMATICO (XUNTA DE GALICIA),UTC,ARZÚA,ES2013A,Background,Urban,Particulate matter < 10 µm (aerosol),SP_15006001_10_49,42.9329,-8.1623,390,Continuous data collection,2010-12-31T00:00:00Z,2013-07-26T00:00:00Z,SAM_15006001_10_49,SPP_15006001_10_49.1,MetOne BAM-1020,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Galicia,SUBDIRECCION XERAL DE METEOROLOXIA E CAMBIO CLIMATICO (XUNTA DE GALICIA),UTC,LA GRELA,ES1798A,Industrial,Urban,Benzo(a)anthracene in PM10 (aerosol),SP_15030021_99_M,43.3542,-8.4249,65,Continuous data collection,2018-01-01T00:00:00Z,,SAM_15030021_99_M,SPP_15030021_99_M.1,,,,High performance liquid chromatography - fluorescence detection (HPLC-FLD),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,PALACIO CONGRESOS,ES1924A,Background,Urban,Cadmium in PM10 (aerosol),SP_18087010_28_M,37.16568,-3.6001,666,Continuous data collection,2012-01-01T00:00:00Z,,SAM_18087010_28_M,SPP_18087010_28_M.1,,,,Inductive coupled plasma atomic emission spectrometry (ICP-AES),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,EMEP/VAG/CAMP,AGENCIA ESTATAL METEOROLOGÍA,UTC,VÍZNAR,ES0007R,Background,Rural,Lead (precip+dry_dep),SP_18189999_321_I,37.23722,-3.53417,1230,Continuous data collection,2007-01-01T00:00:00Z,,SAM_18189999_321_I,SPP_18189999_321_I.1,,,,Inductive coupled plasma mass spectrometryscopy (ICP-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,AVENIDA TOLOSA,ES1697A,Traffic,Urban,Lead in PM10 (aerosol),SP_20069005_19_M,43.3094,-2.0109,3,Continuous data collection,2010-01-01T00:00:00Z,,SAM_20069005_19_M,SPP_20069005_19_M.1,,,,Inductive coupled plasma mass spectrometryscopy (ICP-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,AVENIDA TOLOSA,ES1697A,Traffic,Urban,Sulphur dioxide (air),SP_20069005_1_38,43.3094,-2.0109,3,Continuous data collection,2004-02-24T00:00:00Z,,SAM_20069005_1_38,SPP_20069005_1_38.1,Thermo model 43i SO2 analyser,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,AVENIDA TOLOSA,ES1697A,Traffic,Urban,Benzo(k)fluoranthene in PM10 (aerosol),SP_20069005_96_M,43.3094,-2.0109,3,Continuous data collection,2009-01-01T00:00:00Z,,SAM_20069005_96_M,SPP_20069005_96_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,EASO,ES2101A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SP_20069006_10_47,43.31217,-1.98083,6,Continuous data collection,2020-01-01T00:00:00Z,,SAM_20069006_10_47,SPP_20069006_10_47.1,TEOM 1400,Tapered Element Oscillating Microbalance (TEOM),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
